GraphType,Nodes,Edges,Variant,Mode,Time,Time_Std,Modularity,Modularity_Std,Communities,Communities_Std
LFR,1000,2140,BGL vecS/vecS,baseline,0.001661526,2.147196926227306e-05,0.8661,0.0,30.0,0.0
LFR,1000,2140,BGL listS/vecS,baseline,0.0017682490000000002,3.284494891151454e-05,0.8661,0.0,30.0,0.0
LFR,1000,2140,BGL setS/vecS,baseline,0.001904057,3.5494210246179606e-05,0.8652089999999999,1.1102230246251565e-16,29.0,0.0
LFR,1000,2140,BGL adj_matrix,baseline,0.012532090000000001,0.00019923425634162432,0.8652089999999999,1.1102230246251565e-16,29.0,0.0
LFR,1000,2140,BGL vecS/vecS,trust-Q,0.001381632,2.0334452930924915e-05,0.8661,0.0,30.0,0.0
LFR,1000,2140,BGL listS/vecS,trust-Q,0.0014745930000000002,2.109647081859902e-05,0.8661,0.0,30.0,0.0
LFR,1000,2140,BGL setS/vecS,trust-Q,0.001602727,1.0712296719191464e-05,0.8652089999999999,1.1102230246251565e-16,29.0,0.0
LFR,1000,2140,BGL adj_matrix,trust-Q,0.01170031,5.112642076265446e-05,0.8652089999999999,1.1102230246251565e-16,29.0,0.0
LFR,1000,2140,BGL vecS/vecS,peak-Q,0.001639691,2.07390402140504e-05,0.8661,0.0,30.0,0.0
LFR,1000,2140,BGL listS/vecS,peak-Q,0.0017347620000000002,2.166477408144383e-05,0.8661,0.0,30.0,0.0
LFR,1000,2140,BGL setS/vecS,peak-Q,0.0018677530000000002,2.180555940580293e-05,0.8652089999999999,1.1102230246251565e-16,29.0,0.0
LFR,1000,2140,BGL adj_matrix,peak-Q,0.0124652,5.1043491259904933e-05,0.8652089999999999,1.1102230246251565e-16,29.0,0.0
LFR,1000,2140,BGL vecS/vecS,trust+peak,0.0014046719999999998,2.841435862376626e-05,0.8661,0.0,30.0,0.0
LFR,1000,2140,BGL listS/vecS,trust+peak,0.001555761,0.00014184514926143934,0.8661,0.0,30.0,0.0
LFR,1000,2140,BGL setS/vecS,trust+peak,0.001801536,0.00015285449768979653,0.8652089999999999,1.1102230246251565e-16,29.0,0.0
LFR,1000,2140,BGL adj_matrix,trust+peak,0.011553830000000001,0.0007649147887836919,0.8652089999999999,1.1102230246251565e-16,29.0,0.0
LFR,5000,10500,BGL vecS/vecS,baseline,0.024261579999999998,0.00024239917821642902,0.8825540000000001,1.1102230246251565e-16,36.0,0.0
LFR,5000,10500,BGL listS/vecS,baseline,0.0300854,8.021487393245687e-05,0.8825540000000001,1.1102230246251565e-16,36.0,0.0
LFR,5000,10500,BGL setS/vecS,baseline,0.03371806,3.96672207244217e-05,0.880528,0.0,36.0,0.0
LFR,5000,10500,BGL adj_matrix,baseline,4.52247,0.10244894484571333,0.880528,0.0,36.0,0.0
