GraphType,Nodes,Edges,Implementation,Time,Time_Std,Communities,Communities_Std
LFR,1000,2140,igraph,0.002310490608215332,0.00014647101185177796,29.8,0.4
LFR,1000,2140,genlouvain,0.0036974280000000004,0.00027199324182045396,,
LFR,1000,2140,BGL vecS/vecS (eps=0),0.001648368,1.770307250168737e-05,30.0,0.0
LFR,1000,2140,BGL vecS/vecS (eps=1e-6),0.001656527,3.336517946902131e-05,30.0,0.0
LFR,5000,10500,igraph,0.050122427940368655,0.014257723582437487,35.9,0.3
LFR,5000,10500,genlouvain,0.03455122,0.007138251588841627,,
LFR,5000,10500,BGL vecS/vecS (eps=0),0.024175300000000004,0.00021454658235450859,36.0,0.0
LFR,5000,10500,BGL vecS/vecS (eps=1e-6),0.02073159,0.00021875902929936403,35.0,0.0
LFR,10000,20876,igraph,0.21822197437286378,0.06895780386488429,34.6,0.66332495807108
LFR,10000,20876,genlouvain,0.10098022000000002,0.01239245670130019,,
LFR,10000,20876,BGL vecS/vecS (eps=0),0.07464409,0.00035550494919199137,35.0,0.0
LFR,10000,20876,BGL vecS/vecS (eps=1e-6),0.0527103,0.005162220811821205,35.0,0.0
LFR,50000,99996,igraph,1.3530243635177612,0.3904896859627393,66.6,2.4979991993593593
LFR,50000,99996,genlouvain,0.7969113999999999,0.11263152610987744,,
LFR,50000,99996,BGL vecS/vecS (eps=0),0.7350564,0.01082640601677214,63.0,0.0
LFR,50000,99996,BGL vecS/vecS (eps=1e-6),0.44522839999999997,0.004673853147029764,64.0,0.0
ScaleFree,1000,2991,igraph,0.012522673606872559,0.005788150380603199,14.7,1.004987562112089
ScaleFree,1000,2991,genlouvain,0.008210566999999998,0.002163810773441384,,
ScaleFree,1000,2991,BGL vecS/vecS (eps=0),0.004815751,7.5383882952525e-05,16.0,0.0
ScaleFree,1000,2991,BGL vecS/vecS (eps=1e-6),0.004724772,6.702876424342014e-05,16.0,0.0
ScaleFree,5000,14991,igraph,0.14090826511383056,0.03924442318465082,22.6,1.7435595774162693
ScaleFree,5000,14991,genlouvain,0.08371828,0.007317448181408596,,
ScaleFree,5000,14991,BGL vecS/vecS (eps=0),0.07639184,0.000822089449147719,22.0,0.0
ScaleFree,5000,14991,BGL vecS/vecS (eps=1e-6),0.04327699,0.0004897148812319273,25.0,0.0
ScaleFree,10000,29991,igraph,0.4075706243515015,0.09800535646027876,26.0,1.0
ScaleFree,10000,29991,genlouvain,0.22149009999999997,0.023684880976901697,,
ScaleFree,10000,29991,BGL vecS/vecS (eps=0),0.15157890000000002,0.0007874157034248132,25.0,0.0
ScaleFree,10000,29991,BGL vecS/vecS (eps=1e-6),0.1195578,0.0005541124073687591,26.0,0.0
ScaleFree,50000,149991,igraph,4.298663854598999,0.879412942541178,33.7,2.0518284528683193
ScaleFree,50000,149991,genlouvain,2.282246,0.17768750885754464,,
ScaleFree,50000,149991,BGL vecS/vecS (eps=0),1.7750229999999998,0.055136674917880206,34.0,0.0
ScaleFree,50000,149991,BGL vecS/vecS (eps=1e-6),1.325092,0.028755585474825592,36.0,0.0
