GraphType,Nodes,Edges,Variant,Mode,Time,Time_Std,Modularity,Modularity_Std,Communities,Communities_Std
LFR,100,258,BGL vecS/vecS,incremental,0.0001237533,5.575176554155032e-06,0.8132620000000002,1.1102230246251565e-16,10.0,0.0
LFR,100,258,BGL listS/vecS,incremental,0.0001286225,6.18566346077767e-06,0.8132620000000002,1.1102230246251565e-16,10.0,0.0
LFR,100,258,BGL setS/vecS,incremental,0.0001285123,3.523097814424118e-06,0.8132620000000002,1.1102230246251565e-16,10.0,0.0
LFR,100,258,BGL adj_matrix,incremental,0.0002002257,9.378377493468688e-06,0.8132620000000002,1.1102230246251565e-16,10.0,0.0
LFR,100,258,BGL vecS/vecS,non-incremental,0.009158788000000001,0.00017881126669200671,0.8132620000000002,1.1102230246251565e-16,10.0,0.0
LFR,100,258,BGL listS/vecS,non-incremental,0.01108624,0.0001477696870132706,0.8132620000000002,1.1102230246251565e-16,10.0,0.0
LFR,100,258,BGL setS/vecS,non-incremental,0.011030530000000002,0.0005583581450108882,0.8132620000000002,1.1102230246251565e-16,10.0,0.0
LFR,100,258,BGL adj_matrix,non-incremental,0.013309790000000002,0.00010562232197788495,0.8132620000000002,1.1102230246251565e-16,10.0,0.0
LFR,500,1012,BGL vecS/vecS,incremental,0.0007328446,2.8829409987719157e-05,0.8812999999999999,1.1102230246251565e-16,26.0,0.0
LFR,500,1012,BGL listS/vecS,incremental,0.0007644423,1.6398894902096296e-05,0.8812999999999999,1.1102230246251565e-16,26.0,0.0
LFR,500,1012,BGL setS/vecS,incremental,0.0008051712000000001,4.95893445586852e-05,0.882798,0.0,27.0,0.0
LFR,500,1012,BGL adj_matrix,incremental,0.0032482360000000003,9.049383384518531e-05,0.882798,0.0,27.0,0.0
LFR,500,1012,BGL vecS/vecS,non-incremental,0.32688339999999994,0.0040140902381486186,0.882798,0.0,27.0,0.0
LFR,500,1012,BGL listS/vecS,non-incremental,0.3925219999999999,0.0012365627359742027,0.882798,0.0,27.0,0.0
LFR,500,1012,BGL setS/vecS,non-incremental,0.38951,0.0014761674024310308,0.882798,0.0,27.0,0.0
LFR,500,1012,BGL adj_matrix,non-incremental,0.8191251999999999,0.008848539673867112,0.882798,0.0,27.0,0.0
LFR,1000,2140,BGL vecS/vecS,incremental,0.0016558920000000002,2.4455184644569727e-05,0.8661,0.0,30.0,0.0
LFR,1000,2140,BGL listS/vecS,incremental,0.0017728880000000002,7.902248234521617e-05,0.8661,0.0,30.0,0.0
LFR,1000,2140,BGL setS/vecS,incremental,0.0018833609999999996,4.379726211762559e-05,0.8652089999999999,1.1102230246251565e-16,29.0,0.0
LFR,1000,2140,BGL adj_matrix,incremental,0.01329524,0.000635229950805218,0.8652089999999999,1.1102230246251565e-16,29.0,0.0
LFR,1000,2140,BGL vecS/vecS,non-incremental,2.8581219999999994,0.018917446867904714,0.870904,0.0,30.0,0.0
LFR,1000,2140,BGL listS/vecS,non-incremental,3.484761,0.01641736059785492,0.870904,0.0,30.0,0.0
LFR,1000,2140,BGL setS/vecS,non-incremental,2.699597,0.010811212744183677,0.87036,0.0,28.0,0.0
LFR,1000,2140,BGL adj_matrix,non-incremental,7.998870000000001,0.04063285394849825,0.87036,0.0,28.0,0.0
