GraphType,Nodes,Edges,Implementation,Time,Time_Std,Communities,Communities_Std
LFR,100000,199996,NetworkX,60.3394917011261,1.65875453003699,79.0,0.0
LFR,100000,199996,igraph,4.223787713050842,0.6384456187171171,77.3,2.1470910553583886
LFR,100000,199996,genlouvain,2.38849,0.1162727834877964,,
LFR,100000,199996,BGL vecS/vecS,2.229147,0.1133660540064793,75.0,0.0
LFR,100000,199996,BGL listS/vecS,3.073986,0.088655644287321,75.0,0.0
LFR,100000,199996,BGL setS/vecS,4.1159930000000005,0.1554198378618379,75.0,0.0
LFR,100000,199996,BGL adj_matrix,,,,
LFR,100000,199996,BGL vecS/vecS (eps=1e-6),2.081879,0.2397546372210557,77.0,0.0
LFR,10000,20876,NetworkX,2.7789053916931152,0.0246105174399119,35.0,0.0
LFR,10000,20876,igraph,0.2006773710250854,0.0787243351286401,34.5,0.6708203932499369
LFR,10000,20876,genlouvain,0.06209514,0.005190115720521,,
LFR,10000,20876,BGL vecS/vecS,0.0568901599999999,0.0004469846332929,35.0,0.0
LFR,10000,20876,BGL listS/vecS,0.09311117,0.0004118215172863,35.0,0.0
LFR,10000,20876,BGL setS/vecS,0.08231906,0.0003568508349436,35.0,0.0
LFR,10000,20876,BGL adj_matrix,,,,
LFR,10000,20876,BGL vecS/vecS (eps=1e-6),0.03789794,0.0001150832411778,35.0,0.0
LFR,50000,99996,NetworkX,12.907621669769288,0.0869674175356492,66.0,0.0
LFR,50000,99996,igraph,1.321758794784546,0.2849323544266999,66.5,2.4596747752497685
LFR,50000,99996,genlouvain,0.5499999,0.058452262973216,,
LFR,50000,99996,BGL vecS/vecS,0.5887380999999999,0.0033370440347708,63.0,0.0
LFR,50000,99996,BGL listS/vecS,0.7004525000000001,0.0045506737138582,63.0,0.0
LFR,50000,99996,BGL setS/vecS,0.6804394000000001,0.0053563992793666,63.0,0.0
LFR,50000,99996,BGL adj_matrix,,,,
LFR,50000,99996,BGL vecS/vecS (eps=1e-6),0.3502159999999999,0.0031071517503977,64.0,0.0
LFR,1000,2140,NetworkX,0.0614245176315307,0.0117768013127502,30.0,0.0
LFR,1000,2140,igraph,0.0024635314941406,0.0002440887634507,29.9,0.3
LFR,1000,2140,genlouvain,0.003743586,0.0001610543558057,,
LFR,1000,2140,BGL vecS/vecS,0.001379067,2.0484333550301324e-05,30.0,0.0
LFR,1000,2140,BGL listS/vecS,0.0014760429999999,1.9115823837857443e-05,30.0,0.0
LFR,1000,2140,BGL setS/vecS,0.001640498,2.5544499916811823e-05,29.0,0.0
LFR,1000,2140,BGL adj_matrix,0.01214184,0.000294205085612,29.0,0.0
LFR,1000,2140,BGL vecS/vecS (eps=1e-6),0.001349812,2.619653060998725e-05,30.0,0.0
LFR,5000,10500,NetworkX,0.8855037689208984,0.0308829970565474,36.0,0.0
LFR,5000,10500,igraph,0.0518914461135864,0.0176438322516992,35.8,0.4
LFR,5000,10500,genlouvain,0.03246957,0.0062223315876044,,
LFR,5000,10500,BGL vecS/vecS,0.02306689,0.0003270867635658,36.0,0.0
LFR,5000,10500,BGL listS/vecS,0.02939605,0.0003047632466358,36.0,0.0
LFR,5000,10500,BGL setS/vecS,0.03288116,0.0002764483973547,36.0,0.0
LFR,5000,10500,BGL adj_matrix,4.869493,0.1132173042471865,36.0,0.0
LFR,5000,10500,BGL vecS/vecS (eps=1e-6),0.01969259,0.0003384482159799,35.0,0.0
