GraphType,Nodes,Edges,Variant,Mode,Time,Time_Std,Modularity,Modularity_Std,Communities,Communities_Std
LFR,1000,2140,BGL vecS/vecS,safe,0.001666105,2.3480968570312433e-05,0.8661,0.0,30.0,0.0
LFR,1000,2140,BGL listS/vecS,safe,0.001763801,3.236779431780916e-05,0.8661,0.0,30.0,0.0
LFR,1000,2140,BGL setS/vecS,safe,0.0018989890000000002,1.9475990064692474e-05,0.8652089999999999,1.1102230246251565e-16,29.0,0.0
LFR,1000,2140,BGL adj_matrix,safe,0.01304352,0.00044291507267195135,0.8652089999999999,1.1102230246251565e-16,29.0,0.0
LFR,1000,2140,BGL vecS/vecS,trust-Q,0.001394649,1.1710490553345752e-05,0.8661,0.0,30.0,0.0
LFR,1000,2140,BGL listS/vecS,trust-Q,0.0015291620000000001,6.441342667487885e-05,0.8661,0.0,30.0,0.0
LFR,1000,2140,BGL setS/vecS,trust-Q,0.001668476,2.9418438503768343e-05,0.8652089999999999,1.1102230246251565e-16,29.0,0.0
LFR,1000,2140,BGL adj_matrix,trust-Q,0.01212097,0.00014270622305982336,0.8652089999999999,1.1102230246251565e-16,29.0,0.0
LFR,5000,10500,BGL vecS/vecS,safe,0.024074400000000003,0.00021912594551992237,0.8825540000000001,1.1102230246251565e-16,36.0,0.0
LFR,5000,10500,BGL listS/vecS,safe,0.029781959999999996,0.00013152082876867862,0.8825540000000001,1.1102230246251565e-16,36.0,0.0
LFR,5000,10500,BGL setS/vecS,safe,0.032928080000000005,0.00016576170124609686,0.880528,0.0,36.0,0.0
LFR,5000,10500,BGL adj_matrix,safe,4.561529,0.1028270005835043,0.880528,0.0,36.0,0.0
LFR,5000,10500,BGL vecS/vecS,trust-Q,0.02265199,0.00030518302852550617,0.8825540000000001,1.1102230246251565e-16,36.0,0.0
LFR,5000,10500,BGL listS/vecS,trust-Q,0.028783650000000004,0.00017789883220527294,0.8825540000000001,1.1102230246251565e-16,36.0,0.0
LFR,5000,10500,BGL setS/vecS,trust-Q,0.032244739999999994,0.00024914060367591694,0.880528,0.0,36.0,0.0
LFR,5000,10500,BGL adj_matrix,trust-Q,4.541240999999999,0.06153132477852245,0.880528,0.0,36.0,0.0
LFR,10000,20876,BGL vecS/vecS,safe,0.0754012,0.0005402714891607755,0.868178,0.0,35.0,0.0
LFR,10000,20876,BGL listS/vecS,safe,0.09218119,0.0006310279018395309,0.868178,0.0,35.0,0.0
LFR,10000,20876,BGL setS/vecS,safe,0.09787946,0.000908693583338189,0.865621,0.0,35.0,0.0
LFR,10000,20876,BGL adj_matrix,safe,,,,,,
LFR,10000,20876,BGL vecS/vecS,trust-Q,0.07160361,0.0005178650798229198,0.868178,0.0,35.0,0.0
LFR,10000,20876,BGL listS/vecS,trust-Q,0.09064154999999999,0.0008324031838598399,0.868178,0.0,35.0,0.0
LFR,10000,20876,BGL setS/vecS,trust-Q,0.09858203,0.00045204548897207527,0.865621,0.0,35.0,0.0
LFR,10000,20876,BGL adj_matrix,trust-Q,,,,,,
LFR,50000,99996,BGL vecS/vecS,safe,0.7586062,0.01567992546410856,0.5655590000000001,1.1102230246251565e-16,63.0,0.0
LFR,50000,99996,BGL listS/vecS,safe,0.8832099999999998,0.053912209897202336,0.5655590000000001,1.1102230246251565e-16,63.0,0.0
LFR,50000,99996,BGL setS/vecS,safe,1.0736222,0.15535329240206017,0.5655590000000001,1.1102230246251565e-16,63.0,0.0
LFR,50000,99996,BGL adj_matrix,safe,,,,,,
LFR,50000,99996,BGL vecS/vecS,trust-Q,0.7996809,0.05033789634947015,0.5655590000000001,1.1102230246251565e-16,63.0,0.0
LFR,50000,99996,BGL listS/vecS,trust-Q,0.9833564000000001,0.11751612587317539,0.5655590000000001,1.1102230246251565e-16,63.0,0.0
LFR,50000,99996,BGL setS/vecS,trust-Q,1.1886610000000002,0.09473672988339847,0.5655590000000001,1.1102230246251565e-16,63.0,0.0
LFR,50000,99996,BGL adj_matrix,trust-Q,,,,,,
